id,total,owner,renter
60871001001,2003,1993,2005
60871001002,1994,1994,2000
60871002001,1987,1983,2001
60871002002,2001,1999,2005
60871002003,1999,1991,2004
60871002004,2002,1995,2005
60871002005,2002,1992,2005
60871002006,2003,1995,2005
60871002007,2001,1995,2005
60871003001,1998,1989,2005
60871003002,1998,1982,2004
60871004001,2005,2003,2005
60871005001,1997,1994,2005
60871005002,2005,1997,2005
60871005003,2002,1989,2005
60871006001,2002,1997,2005
60871006002,2000,1993,2003
60871006003,1999,1986,2004
60871007001,2003,1999,2005
60871007002,2005,2002,2005
60871008001,2005,1998,2005
60871008002,2001,1990,2003
60871008003,1999,,2000
60871008004,2005,2005,2005
60871008005,1999,1996,2001
60871008006,2005,1997,2005
60871008007,2005,1997,2005
60871009001,1999,1997,2003
60871009002,2003,1989,2004
60871009003,1996,1992,2001
60871009004,2002,1997,2004
60871009005,2005,2001,2005
60871010001,2005,,2005
60871010002,2003,,2004
60871010003,2004,1989,2005
60871010004,2005,,2005
60871010005,2002,1989,2005
60871010006,2005,1993,2005
60871010007,2005,1986,2005
60871011001,2005,1995,2005
60871011002,1999,1995,2002
60871011003,2003,2000,2005
60871011004,1992,1992,
60871011005,2001,1994,2005
60871011006,2002,1998,2005
60871011007,2002,2001,2005
60871012001,2005,2003,2005
60871012002,1997,1989,2005
60871012003,1999,1995,2005
60871101001,2005,2005,2005
60871101002,1999,1993,2001
60871101003,2000,2000,1999
60871101004,2002,1999,2005
60871102001,1996,1995,1999
60871102002,2001,1992,2005
60871102003,1998,1998,1998
60871102004,1998,1994,2005
60871103001,2005,1999,2005
60871103002,2003,1995,2004
60871103003,2004,,2005
60871103004,2003,1986,2004
60871104001,2004,2004,2004
60871104002,2003,1997,2004
60871105011,2001,1994,2004
60871105012,2002,1991,2005
60871105013,1998,1997,2001
60871105021,2002,2001,
60871105022,2003,2000,2005
60871105023,1992,1990,2005
60871106001,1998,1998,1998
60871106002,1992,1990,2003
60871106003,2002,2001,2002
60871106004,2003,2000,2004
60871107001,1990,1980,2005
60871107002,1995,1991,2004
60871202001,1996,1991,2005
60871202002,1996,1992,2003
60871203011,2000,2000,2001
60871203012,1997,1993,2005
60871203021,2000,1996,2003
60871203022,2002,1996,2004
60871203023,1999,1995,2005
60871204001,2002,2000,2004
60871204002,1998,1996,2001
60871204003,2002,1999,2005
60871204004,2001,1986,2002
60871205001,1997,1995,2004
60871205002,1994,1991,2004
60871205003,2003,1997,2005
60871206001,2001,2001,2005
60871206002,1998,1996,2003
60871206003,1996,1989,2005
60871206004,1998,1993,2005
60871207001,2003,2000,2005
60871207002,1998,1991,2005
60871207003,2000,1998,2004
60871208001,2001,1999,2005
60871208002,1994,1992,2003
60871208003,2001,1994,2005
60871209001,1989,1989,
60871209002,1997,1994,2003
60871209003,2001,2001,2003
60871209004,2001,1999,2003
60871209005,2002,1997,2005
60871210001,1998,1996,2005
60871210002,1994,1993,2000
60871210003,1995,1994,1997
60871211001,1996,1994,2005
60871211002,2001,2001,2002
60871212001,2000,1994,2005
60871212002,1991,1988,1998
60871212003,1997,1995,2002
60871212004,1999,1997,2005
60871213001,2001,1995,2005
60871213002,1998,1984,2005
60871213003,2000,1996,2003
60871213004,2001,2002,2001
60871214011,2001,2000,2002
60871214012,1998,1993,2003
60871214021,2002,2001,2004
60871214022,2001,1999,2005
60871214031,2001,2000,2002
60871214032,2002,1995,2005
60871215001,2003,2000,2005
60871215002,2004,2001,2004
60871215003,2005,2001,2005
60871215004,2005,1987,2005
60871216001,1998,1992,2005
60871216002,2002,2002,2003
60871216003,2002,2001,2003
60871216004,1994,1990,2005
60871217001,2002,1998,2005
60871217002,2002,1997,2005
60871217003,2002,2002,2002
60871217004,2002,1997,2004
60871218001,1993,1987,2003
60871218002,2003,1999,2005
60871218003,2005,1986,2005
60871218004,2005,2005,2004
60871220011,1998,1992,2004
60871220012,1999,1995,2003
60871220021,1996,1993,2001
60871220022,1991,1990,2004
60871220031,1997,1995,2004
60871220032,2000,1997,2005
60871220033,2000,1999,2005
60871220034,2003,1995,2004
60871221001,2003,1997,2005
60871221002,2000,1996,2005
60871222011,2001,1996,2005
60871222012,1993,1991,2005
60871222013,1998,1998,1998
60871222014,2000,1989,2005
60871222021,1997,1995,2005
60871222031,1997,1994,2004
60871222032,2001,1993,2003
60871223001,1995,1988,2002
60871223002,2001,1997,2004
60871223003,2005,1993,2005
60871224001,1995,1993,2000
60871224002,1995,1993,2005
60871224003,1999,1998,2005
60871224004,1997,1995,
60871224005,1997,1993,2002
60871225001,1996,1993,2005
60871225002,2000,1991,2003
60871225003,2002,1994,2005
60871231001,1997,1995,2002
60871233001,2002,1992,2005
